Kecamatan,Jenis Tanaman Buah-buahan,Jumlah Tanaman,Jenis Ternak,Jumlah Populasi Ternak,Kecamatan,Jenis Ternak,Jumlah Kelompok Peternakan
Kec. Tapa,Duku/Langsat,10,Sapi Potong,"2,083",Tapa,Sapi,17
Kec. Tapa,Durian,508,Kambing,329,Tapa,Ayam,7
Kec. Tapa,Mangga,332,Ayam Buras,"12,102",Bulango Utara,Sapi,24
Kec. Tapa,Nangka,50,Ayam Ras Pedaging,"29,200",Bulango Utara,Ayam,13
Kec. Tapa,Pepaya,90,Itik,0,Bulango Selataan,Sapi,26
Kec. Tapa,Pisang,"3,115",Puyuh,600,Bulango Selataan,Ayam,11
Kec. Tapa,Sirsak,50,Merpati,15,Bulango Timur,Sapi,13
Kec. Bulango Utara,Duku/Langsat,"1,400",Sapi Potong,"3,505",Bulango Timur,Ayam,18
Kec. Bulango Utara,Durian,"1,250",Kambing,321,Bulango Ulu,Sapi,17
Kec. Bulango Utara,Mangga,905,Ayam Buras,"17,880",Bulango Ulu,Ayam,2
Kec. Bulango Utara,Nangka,365,Ayam Ras Pedaging,"19,400",Kabila,Sapi,36
Kec. Bulango Utara,Pepaya,270,Itik,137,Kabila,Ayam,19
Kec. Bulango Utara,Pisang,"1,785",Puyuh,"4,700",Tilongkabila,Sapi,52
Kec. Bulango Utara,Sirsak,50,Merpati,35,Tilongkabila,Ayam,12
Kec. Bulango Selatan,Duku/Langsat,0,Sapi Potong,"3,475",Suwawa,Sapi,27
Kec. Bulango Selatan,Durian,0,Kambing,196,Suwawa,Ayam,20
Kec. Bulango Selatan,Mangga,127,Ayam Buras,"14,597",Suwawa Selatan,Sapi,23
Kec. Bulango Selatan,Nangka,0,Ayam Ras Pedaging,"17,550",Suwawa Selatan,Ayam,4
Kec. Bulango Selatan,Pepaya,174,Itik,385,Suwawa Timur,Sapi,21
Kec. Bulango Selatan,Pisang,888,Puyuh,"3,800",Suwawa Timur,Ayam,14
Kec. Bulango Selatan,Sirsak,50,Merpati,145,Suwawa Tengah,Sapi,11
Kec. Bulango Timur,Duku/Langsat,"1,400",Sapi Potong,"2,208",Suwawa Tengah,Ayam,4
Kec. Bulango Timur,Durian,"1,250",Kambing,159,Pinogu,Sapi,6
Kec. Bulango Timur,Mangga,600,Ayam Buras,"13,611",Pinogu,Ayam,2
Kec. Bulango Timur,Nangka,237,Ayam Ras Pedaging,"33,850",Botupingge,Sapi,18
Kec. Bulango Timur,Pepaya,50,Itik,286,Botupingge,Ayam,2
Kec. Bulango Timur,Pisang,850,Puyuh,"1,600",Kabila Bone,Sapi,22
Kec. Bulango Timur,Sirsak,50,Merpati,22,Kabila Bone,Ayam,2
Kec. Bulango Ulu,Duku/Langsat,"3,795",Sapi Potong,"2,377",Bone Pantai,Sapi,23
Kec. Bulango Ulu,Durian,626,Kambing,207,Bone Pantai,Ayam,2
Kec. Bulango Ulu,Mangga,"1,083",Ayam Buras,"10,460",Bulawa,Sapi,15
Kec. Bulango Ulu,Nangka,0,Ayam Ras Pedaging,0,Bulawa,Ayam,1
Kec. Bulango Ulu,Pepaya,398,Itik,355,Bone Raya,Sapi,21
Kec. Bulango Ulu,Pisang,600,Puyuh,0,Bone Raya,Ayam,1
Kec. Bulango Ulu,Sirsak,0,Merpati,17,Bone,Sapi,23
Kec. Kabila,Duku/Langsat,0,Sapi Potong,"4,408",Bone,Ayam,6
Kec. Kabila,Durian,0,Kambing,445,,,
Kec. Kabila,Mangga,210,Ayam Buras,"33,615",,,
Kec. Kabila,Nangka,140,Ayam Ras Pedaging,"31,150",,,
Kec. Kabila,Pepaya,25,Itik,"3,485",,,
Kec. Kabila,Pisang,"2,050",Puyuh,304,,,
Kec. Kabila,Sirsak,25,Merpati,102,,,
Kec. Tilongkabila,Duku/Langsat,58,Sapi Potong,"9,555",,,
Kec. Tilongkabila,Durian,518,Kambing,739,,,
Kec. Tilongkabila,Mangga,"3,080",Ayam Buras,"70,942",,,
Kec. Tilongkabila,Nangka,25,Ayam Ras Pedaging,"29,200",,,
Kec. Tilongkabila,Pepaya,61,Itik,763,,,
Kec. Tilongkabila,Pisang,"1,552",Puyuh,"2,404",,,
Kec. Tilongkabila,Sirsak,25,Merpati,68,,,
Kec. Botupingge,Duku/Langsat,0,Sapi Potong,"2,248",,,
Kec. Botupingge,Durian,0,Kambing,493,,,
Kec. Botupingge,Mangga,750,Ayam Buras,"16,720",,,
Kec. Botupingge,Nangka,35,Ayam Ras Pedaging,"38,450",,,
Kec. Botupingge,Pepaya,122,Itik,"1,090",,,
Kec. Botupingge,Pisang,"1,200",Puyuh,700,,,
Kec. Botupingge,Sirsak,0,Merpati,47,,,
Kec. Suwawa,Duku/Langsat,0,Sapi Potong,"4,491",,,
Kec. Suwawa,Durian,0,Kambing,286,,,
Kec. Suwawa,Mangga,0,Ayam Buras,"18,695",,,
Kec. Suwawa,Nangka,0,Ayam Ras Pedaging,"24,000",,,
Kec. Suwawa,Pepaya,"1,070",Itik,"2,468",,,
Kec. Suwawa,Pisang,100,Puyuh,37,,,
Kec. Suwawa,Sirsak,0,Merpati,44,,,
Kec. Suwawa Tengah,Duku/Langsat,"1,661",Sapi Potong,"1,140",,,
Kec. Suwawa Tengah,Durian,0,Kambing,146,,,
Kec. Suwawa Tengah,Mangga,100,Ayam Buras,"10,568",,,
Kec. Suwawa Tengah,Nangka,125,Ayam Ras Pedaging,0,,,
